,International faculty members,International students,Total faculty members,Total students,country,detail_page,name,rank,region,original rank
143,377.0,4494,2562.0,22176.0,Germany,https://www.topuniversities.com/universities/technische-universit%C3%A4t-berlin-tu-berlin,Technische Universität Berlin (TU Berlin),144,Europe,144
144,454.0,1034,2249.0,16531.0,Israel,https://www.topuniversities.com/universities/hebrew-university-jerusalem,The Hebrew University of Jerusalem,145,Asia,145
145,1031.0,3337,2173.0,13435.0,Switzerland,https://www.topuniversities.com/universities/university-lausanne,University of Lausanne,146,Europe,146
146,458.0,5229,2011.0,23273.0,Netherlands,https://www.topuniversities.com/universities/erasmus-university-rotterdam,Erasmus University Rotterdam,147,Europe,147
147,484.0,2154,2560.0,12852.0,United States,https://www.topuniversities.com/universities/emory-university,Emory University,148,North America,147
148,684.0,3441,1057.0,12852.0,Switzerland,https://www.topuniversities.com/universities/university-basel,University of Basel,149,Europe,149
149,653.0,7427,2884.0,44951.0,United States,https://www.topuniversities.com/universities/michigan-state-university,Michigan State University,150,North America,149
150,759.0,3871,1266.0,18532.0,New Zealand,https://www.topuniversities.com/universities/university-otago,University of Otago,151,Oceania,151
151,473.0,8962,1689.0,35541.0,Canada,https://www.topuniversities.com/universities/university-waterloo,University of Waterloo,152,North America,152
152,406.0,4468,1219.0,24277.0,Belgium,https://www.topuniversities.com/universities/universit%C3%A9-catholique-de-louvain-ucl,Université catholique de Louvain (UCL),153,Europe,153
153,1400.0,14468,3411.0,45967.0,Austria,https://www.topuniversities.com/universities/university-vienna,University of Vienna,154,Europe,154
154,364.0,3397,3085.0,23348.0,South Korea,https://www.topuniversities.com/universities/hanyang-university,Hanyang University,155,Asia,155
155,108.0,6134,3863.0,46002.0,Spain,https://www.topuniversities.com/universities/universitat-de-barcelona,Universitat de Barcelona,156,Europe,156
156,91.0,221,382.0,2020.0,France,https://www.topuniversities.com/universities/%C3%A9cole-normale-sup%C3%A9rieure-de-lyon,École Normale Supérieure de Lyon,157,Europe,157
157,508.0,4246,1310.0,12005.0,United Kingdom,https://www.topuniversities.com/universities/university-aberdeen,University of Aberdeen,158,Europe,158
158,597.0,5504,1756.0,20749.0,United Kingdom,https://www.topuniversities.com/universities/university-exeter,The University of Exeter,159,Europe,158
159,440.0,4213,1165.0,14370.0,United Kingdom,https://www.topuniversities.com/universities/university-bath,University of Bath,160,Europe,160
160,835.0,5717,2428.0,21673.0,United Kingdom,https://www.topuniversities.com/universities/newcastle-university,Newcastle University,161,Europe,161
161,119.0,1187,1020.0,13890.0,Taiwan,https://www.topuniversities.com/universities/national-tsing-hua-university,National Tsing Hua University,162,Asia,161
162,195.0,6542,4919.0,59742.0,United States,https://www.topuniversities.com/universities/university-minnesota,University of Minnesota,163,North America,163
163,484.0,767,1513.0,10671.0,Norway,https://www.topuniversities.com/universities/university-bergen,University of Bergen,164,Europe,164
164,377.0,8538,1926.0,32151.0,United States,https://www.topuniversities.com/universities/university-california-irvine,"University of California, Irvine",165,North America,164
165,796.0,3860,3844.0,27366.0,Germany,https://www.topuniversities.com/universities/eberhard-karls-universit%C3%A4t-t%C3%BCbingen,Eberhard Karls Universität Tübingen,166,Europe,164
166,661.0,1618,1172.0,10758.0,Switzerland,https://www.topuniversities.com/universities/university-bern,University of Bern,167,Europe,167
167,627.0,3876,1604.0,19833.0,Ireland,https://www.topuniversities.com/universities/university-college-dublin,University College Dublin,168,Europe,168
168,27.0,945,939.0,6224.0,United States,https://www.topuniversities.com/universities/dartmouth-college,Dartmouth College,169,North America,169
169,231.0,5593,1500.0,36277.0,Italy,https://www.topuniversities.com/universities/politecnico-di-milano,Politecnico di Milano,170,Europe,170
170,413.0,3897,1966.0,23214.0,Germany,https://www.topuniversities.com/universities/albert-ludwigs-universitaet-freiburg,Albert-Ludwigs-Universitaet Freiburg,171,Europe,171
171,4.0,80,466.0,7477.0,India,https://www.topuniversities.com/universities/indian-institute-technology-delhi-iitd,Indian Institute of Technology Delhi (IITD),172,Asia,172
172,665.0,989,1062.0,6040.0,Saudi Arabia,https://www.topuniversities.com/universities/king-fahd-university-petroleum-minerals,King Fahd University of Petroleum & Minerals,173,Asia,173
173,717.0,7502,2390.0,22065.0,United Kingdom,https://www.topuniversities.com/universities/university-liverpool,University of Liverpool,174,Europe,173
174,487.0,1899,2509.0,21560.0,United States,https://www.topuniversities.com/universities/university-virginia,University of Virginia,175,North America,173
175,546.0,7769,1328.0,24207.0,Australia,https://www.topuniversities.com/universities/university-technology-sydney,University of Technology Sydney,176,Oceania,176
176,137.0,1132,529.0,3877.0,France,https://www.topuniversities.com/universities/centralesup%C3%A9lec,CentraleSupélec,177,Europe,177
